time_s,temperature_C
0,19.923767401452952
1,19.736940996922506
2,20.070596831843716
3,19.834060663558386
4,20.005247666863784
5,19.971743057205792
6,20.20547413335414
7,19.935802932553074
8,20.267136058112193
9,20.03910974320946
10,20.49108971185492
11,19.50465121943959
12,19.80049257519128
13,19.57233312763591
14,20.115958730644152
15,19.979741114438955
16,20.155060130986787
17,19.892633444766822
18,20.242557279592727
19,20.012271481706595
20,19.862605440506645
21,20.220980156090512
22,20.152457221250792
23,20.035304073217727
24,19.914085812535465
25,20.166218826422448
26,19.998141635294086
27,20.046043987926172
28,20.094412270334267
29,19.728239855100966
30,19.88183603155923
31,20.24835533131856
32,19.722054864465694
33,20.034856629100357
34,19.53725523844325
35,19.834811677737285
36,20.36637271491677
37,20.373389857306567
38,20.221586873205027
39,19.94632113359368
40,19.843558538926576
41,19.91017847810063
42,20.01347246253143
43,20.016680648173267
44,20.037857002205392
45,19.859805513264206
46,19.60224209941964
47,20.27858984076275
48,20.289829832141194
49,19.70903852820608
